title,author,genre,image,link
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,https://covers.openlibrary.org/b/id/7984916-L.jpg,https://www.amazon.in/s?k=Harry+Potter+book
Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy,https://covers.openlibrary.org/b/id/8231990-L.jpg,https://www.amazon.in/s?k=Harry+Potter+Chamber+Secrets
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy,https://covers.openlibrary.org/b/id/7884866-L.jpg,https://www.amazon.in/s?k=Harry+Potter+Prisoner+Azkaban
Percy Jackson and the Lightning Thief,Rick Riordan,Fantasy,https://covers.openlibrary.org/b/id/8864851-L.jpg,https://www.amazon.in/s?k=Percy+Jackson+Lightning+Thief
The Sea of Monsters,Rick Riordan,Fantasy,https://covers.openlibrary.org/b/id/8235116-L.jpg,https://www.amazon.in/s?k=Sea+of+Monsters+book
The Titan's Curse,Rick Riordan,Fantasy,https://covers.openlibrary.org/b/id/8235117-L.jpg,https://www.amazon.in/s?k=Titans+Curse+book
The Hobbit,J.R.R. Tolkien,Fantasy,https://covers.openlibrary.org/b/id/6979861-L.jpg,https://www.amazon.in/s?k=The+Hobbit
The Lord of the Rings,J.R.R. Tolkien,Fantasy,https://covers.openlibrary.org/b/id/8231857-L.jpg,https://www.amazon.in/s?k=Lord+of+the+Rings
The Silmarillion,J.R.R. Tolkien,Fantasy,https://covers.openlibrary.org/b/id/8231858-L.jpg,https://www.amazon.in/s?k=Silmarillion
The Chronicles of Narnia,C.S. Lewis,Fantasy,https://covers.openlibrary.org/b/id/11153217-L.jpg,https://www.amazon.in/s?k=Chronicles+of+Narnia
Eragon,Christopher Paolini,Fantasy,https://covers.openlibrary.org/b/id/8231856-L.jpg,https://www.amazon.in/s?k=Eragon
Eldest,Christopher Paolini,Fantasy,https://covers.openlibrary.org/b/id/8231855-L.jpg,https://www.amazon.in/s?k=Eldest+book
Brisingr,Christopher Paolini,Fantasy,https://covers.openlibrary.org/b/id/8231854-L.jpg,https://www.amazon.in/s?k=Brisingr
Inheritance,Christopher Paolini,Fantasy,https://covers.openlibrary.org/b/id/8231853-L.jpg,https://www.amazon.in/s?k=Inheritance+Paolini
Mistborn,Brandon Sanderson,Fantasy,https://covers.openlibrary.org/b/id/8232001-L.jpg,https://www.amazon.in/s?k=Mistborn
The Final Empire,Brandon Sanderson,Fantasy,https://covers.openlibrary.org/b/id/8232002-L.jpg,https://www.amazon.in/s?k=Final+Empire
The Name of the Wind,Patrick Rothfuss,Fantasy,https://covers.openlibrary.org/b/id/8232003-L.jpg,https://www.amazon.in/s?k=Name+of+the+Wind
A Game of Thrones,George R.R. Martin,Fantasy,https://covers.openlibrary.org/b/id/8232004-L.jpg,https://www.amazon.in/s?k=Game+of+Thrones+book
A Clash of Kings,George R.R. Martin,Fantasy,https://covers.openlibrary.org/b/id/8232005-L.jpg,https://www.amazon.in/s?k=Clash+of+Kings
The Alchemist,Paulo Coelho,Fiction,https://covers.openlibrary.org/b/id/8232010-L.jpg,https://www.amazon.in/s?k=The+Alchemist
